model,term,coef,se,z_or_t,p_value
H2_ols_log1p,C(operator)[T.GRYNBERG* JACK DBA GRYNBERG PETROLEUM CO],0.31231174576200144,0.1564353823628359,1.9964265183794943,0.04588751671912981
H2_ols_log1p,C(operator)[T.HIGHPOINT ENERGY LLC],-0.9130322129023922,0.02405194750353108,-37.96084341063648,0.0
H2_ols_log1p,C(operator)[T.HIGHPOINT OPERATING CORPORATION],-0.3573191268555413,0.0274215356564185,-13.030602346003345,8.195807975089056e-39
H2_ols_log1p,C(operator)[T.HRM RESOURCES II LLC],-0.9130322129023869,0.02405194750315992,-37.96084341122205,0.0
H2_ols_log1p,C(operator)[T.HUNTER RIDGE ENERGY SERVICES LLC],-0.16960958998103856,0.18930596703847805,-0.8959548007621121,0.37027690397667556
H2_ols_log1p,C(operator)[T.HYNDREX RESOURCES],0.18558007576571578,0.024051947503219016,7.715802462186419,1.2022339162827494e-14
H2_ols_log1p,C(operator)[T.INDUSTRIAL GAS SERVICES INC],0.7882451649233264,0.18609350925809082,4.235747759639047,2.277923769544311e-05
H2_ols_log1p,C(operator)[T.K P KAUFFMAN COMPANY INC],-0.2892374658683873,0.035377952160831276,-8.175641839117436,2.9429500050781317e-16
H2_ols_log1p,C(operator)[T.KERR MCGEE GATHERING LLC],-0.11943286307930878,0.028885768885032814,-4.134661035150532,3.554789195749993e-05
H2_ols_log1p,C(operator)[T.KERR MCGEE OIL & GAS ONSHORE LP],-0.4489993058063091,0.10515719425633784,-4.269791610375225,1.956556871941303e-05
H2_ols_log1p,C(operator)[T.KOCH EXPLORATION COMPANY LLC],1.287282174124559,0.3308815003486927,3.8904628175585008,0.00010005320798166408
H2_ols_log1p,"C(operator)[T.KOCH EXPLORATION COMPANY, LLC]",0.6413654528952417,0.26800737145548087,2.3930888520421907,0.01670719459530171
H2_ols_log1p,C(operator)[T.KP KAUFFMAN COMPANY INC],0.1992114321965766,0.022335152927787143,8.919188189158886,4.697186049159876e-19
H2_ols_log1p,C(operator)[T.KT RESOURCES LLC],-0.7009569678657092,0.2145737910759142,-3.2667408463586174,0.0010879322227138307
H2_ols_log1p,C(operator)[T.LARAMIE ENERGY LLC],-0.5080231315028365,0.25336873706463614,-2.0050742541817077,0.04495510939789842
H2_ols_log1p,C(operator)[T.LASSO OIL & GAS LLC],1.550334830740791,0.21457379107597607,7.225182642142208,5.004288105333865e-13
H2_ols_log1p,C(operator)[T.LINN OPERATING INC],-0.5162310587588601,0.23913520787780979,-2.158741338593007,0.030870239766516663
H2_ols_log1p,C(operator)[T.LINN OPERATING LLC],-1.243278121504663,0.23913520787780135,-5.199059279217392,2.0029964471464108e-07
H2_ols_log1p,C(operator)[T.LONGS PEAK RESOURCES LLC],-0.23441399039801855,0.016182741767431105,-14.48543107014122,1.4978004420924456e-47
H2_ols_log1p,C(operator)[T.MACHII-ROSS PETROLEUM CO],1.8163888850636754,0.1363862244712308,13.317979085540438,1.8196666705933284e-40
H2_ols_log1p,C(operator)[T.MAGPIE OPERATING INC],4.9250104430293815,0.18609350925808876,26.465245685699866,2.436209386779043e-154
